TRANSACTION_AMOUNT,TRANSACTION_DATE,DEVICE_ID,IP_ADDRESS,TRANSACTION_TYPE,AGE,OCCUPATION,TRANSACTION_DURATION,LOGIN_ATTEMPTS,ACCOUNT_BALANCE,PREVIOUS_TRANSACTION_DATE
492.93,14-12-2023 18:32,D000432,114.223.129.47,Online,39,Engineer,234,1,5109.97,04-11-2024 08:11
18.68,21-02-2023 16:56,D000530,93.218.115.132,Branch,59,Retired,106,1,7948.37,04-11-2024 08:12
71.48,08-06-2023 18:18,D000039,120.170.93.69,Online,18,Student,169,1,6568.59,04-11-2024 08:09
59.32,28-02-2023 16:36,D000152,116.44.12.250,Branch,71,Retired,38,1,5750.89,04-11-2024 08:09
85.77,11-08-2023 18:31,D000268,59.132.247.252,Branch,38,Doctor,93,1,9146.19,04-11-2024 08:08
52.2,06-06-2023 18:54,D000142,133.63.96.21,Online,39,Engineer,120,1,8974.93,04-11-2024 08:07
345.84,02-05-2023 18:25,D000162,191.82.103.198,Online,22,Student,142,3,1402.5,04-11-2024 08:07
145.54,02-03-2023 16:43,D000036,119.186.154.104,Online,21,Student,96,1,1930.96,04-11-2024 08:07
7.49,20-10-2023 17:53,D000671,81.248.235.147,Online,65,Retired,276,1,3634.67,04-11-2024 08:09
246.93,17-04-2023 16:37,D000046,55.154.161.250,ATM,23,Student,158,5,673.35,04-11-2024 08:11
40.32,29-03-2023 16:42,D000310,21.28.32.1,Branch,37,Engineer,95,1,2686.52,04-11-2024 08:11
127.45,24-01-2023 16:18,D000232,152.234.65.155,Online,44,Doctor,197,1,1772.06,04-11-2024 08:11
56.17,20-09-2023 16:55,D000297,33.28.138.82,Branch,27,Student,283,1,1351.69,04-11-2024 08:08
28.31,17-07-2023 17:49,D000587,35.67.21.23,Online,59,Doctor,20,1,8334.47,04-11-2024 08:09
59.12,06-02-2023 16:24,D000282,187.199.178.27,ATM,29,Doctor,257,1,9823.64,04-11-2024 08:06
396.45,25-09-2023 16:26,D000621,133.67.250.163,ATM,49,Engineer,168,3,9690.15,04-11-2024 08:11
877.81,13-03-2023 17:23,D000111,134.140.85.231,Online,22,Student,150,1,399,04-11-2024 08:07
255.26,27-10-2023 16:42,D000357,92.214.76.157,Branch,45,Doctor,50,1,14815.87,04-11-2024 08:10
124.76,16-10-2023 16:32,D000042,59.145.242.13,Branch,49,Engineer,45,1,5764.72,04-11-2024 08:06
78.13,21-11-2023 16:58,D000250,33.28.138.82,Branch,26,Student,145,1,900.61,04-11-2024 08:12
649.28,02-03-2023 17:53,D000448,73.108.76.238,ATM,75,Retired,137,1,4875.86,04-11-2024 08:11
795.31,12-10-2023 17:07,D000077,49.29.37.185,ATM,66,Doctor,90,2,7914.88,04-11-2024 08:11
335.63,24-01-2023 17:17,D000038,49.20.211.229,Online,55,Retired,216,1,1019.39,04-11-2024 08:07
328.47,31-07-2023 18:39,D000557,6.234.101.35,ATM,63,Retired,119,1,4323.66,04-11-2024 08:07
34.02,09-01-2023 16:13,D000627,109.105.179.186,Online,38,Doctor,19,1,14214.48,04-11-2024 08:11
241.42,20-04-2023 18:57,D000198,60.89.202.192,Online,57,Doctor,116,1,13357.02,04-11-2024 08:09
55.32,12-04-2023 16:03,D000197,173.135.78.201,ATM,19,Student,117,1,241.79,04-11-2024 08:08
304.31,26-07-2023 16:52,D000685,77.208.193.198,Branch,27,Student,33,1,868.61,04-11-2024 08:09
435.27,04-10-2023 17:49,D000297,197.162.55.147,Branch,74,Retired,90,1,4673.28,04-11-2024 08:11
164.49,13-12-2023 16:01,D000103,113.115.81.178,Branch,26,Student,75,1,1509.27,04-11-2024 08:10
510.24,09-10-2023 16:29,D000397,186.135.2.148,Online,19,Student,105,1,781.7,04-11-2024 08:11
626.9,27-11-2023 16:45,D000284,93.146.251.20,Online,26,Student,138,1,265.51,04-11-2024 08:07
22.01,27-03-2023 16:45,D000304,124.6.134.78,Online,41,Engineer,175,1,1335.09,04-11-2024 08:06
425.34,13-02-2023 16:59,D000661,139.23.212.102,Online,69,Retired,121,1,3907.54,04-11-2024 08:07
424.56,21-02-2023 17:45,D000598,179.43.245.131,Online,51,Engineer,264,1,5183.85,04-11-2024 08:09
85.43,07-06-2023 16:45,D000235,194.174.252.1,Branch,67,Doctor,145,1,14904.9,04-11-2024 08:06
169.5,07-09-2023 16:51,D000442,42.219.228.159,Branch,28,Student,142,1,918.88,04-11-2024 08:08
104.63,29-03-2023 17:47,D000642,186.135.2.148,ATM,62,Retired,90,1,4477.78,04-11-2024 08:10
316.95,04-08-2023 17:53,D000013,81.102.230.41,Branch,25,Student,83,1,1324.03,04-11-2024 08:09
60.54,14-12-2023 17:52,D000462,1.198.76.182,Branch,57,Retired,52,1,3534.93,04-11-2024 08:09
292.56,03-03-2023 17:37,D000311,198.73.211.114,Branch,68,Retired,61,1,4638.37,04-11-2024 08:07
386.52,09-06-2023 16:18,D000145,186.54.68.246,Branch,48,Engineer,28,1,5630.61,04-11-2024 08:07
112.07,02-10-2023 16:35,D000089,198.166.198.233,Branch,23,Student,51,1,930.3,04-11-2024 08:11
568.52,06-10-2023 18:44,D000233,27.143.109.203,ATM,46,Engineer,152,1,5499.91,04-11-2024 08:06
263.99,16-05-2023 16:07,D000285,7.146.35.122,Branch,79,Retired,227,2,4175.02,04-11-2024 08:11
349.64,07-11-2023 16:48,D000516,9.230.41.239,Online,48,Engineer,226,1,6651.62,04-11-2024 08:08
601.4,30-05-2023 17:43,D000548,125.225.212.244,Branch,56,Engineer,104,1,8458.29,04-11-2024 08:08
5.77,02-11-2023 16:01,D000461,155.164.18.235,Online,50,Doctor,124,1,13988.12,04-11-2024 08:11
201.33,29-03-2023 17:00,D000098,145.246.171.225,Branch,42,Engineer,186,1,2585.07,04-11-2024 08:11
298.42,25-04-2023 16:11,D000435,92.214.76.157,Branch,56,Retired,225,1,3014.75,04-11-2024 08:10
521.06,18-04-2023 18:40,D000305,131.41.45.13,Branch,25,Student,128,1,1951.42,04-11-2024 08:12
117.28,09-02-2023 16:34,D000128,46.150.175.171,Online,60,Engineer,16,1,3665.77,04-11-2024 08:07
189.12,13-11-2023 16:42,D000684,125.89.163.224,Branch,32,Engineer,103,1,977.01,04-11-2024 08:08
133.55,18-07-2023 16:12,D000201,40.226.196.34,ATM,44,Engineer,220,1,3846.28,04-11-2024 08:10
143.21,13-01-2023 17:00,D000410,65.164.3.100,Online,35,Engineer,135,1,6374.82,04-11-2024 08:09
24.77,04-07-2023 18:20,D000180,9.230.41.239,ATM,62,Retired,55,1,5866.01,04-11-2024 08:12
233.92,20-10-2023 16:54,D000295,152.140.239.181,Online,26,Student,280,1,6537.62,04-11-2024 08:08
1212.51,04-10-2023 16:36,D000231,193.83.0.183,Branch,20,Student,24,1,605.95,04-11-2024 08:06
232.12,28-12-2023 17:31,D000073,156.173.170.140,ATM,37,Engineer,51,1,6689.87,04-11-2024 08:09
162.63,12-06-2023 17:53,D000070,60.153.124.80,Online,22,Student,113,1,634.17,04-11-2024 08:08
91.53,13-03-2023 16:32,D000363,94.37.250.128,Branch,44,Doctor,69,1,14676.05,04-11-2024 08:11
120.29,18-12-2023 18:46,D000561,162.198.218.92,Branch,19,Student,77,1,1362.39,04-11-2024 08:06
174.25,17-07-2023 18:54,D000375,130.92.201.49,Online,50,Doctor,67,1,10528.34,04-11-2024 08:10
183.71,19-06-2023 18:22,D000488,86.103.2.29,ATM,38,Engineer,102,1,552.52,04-11-2024 08:09
345.39,23-10-2023 17:13,D000097,131.41.45.13,Online,58,Engineer,80,1,6451.96,04-11-2024 08:08
922.55,23-01-2023 16:32,D000206,21.97.154.92,ATM,63,Retired,87,1,4715.84,04-11-2024 08:11
259.91,06-11-2023 16:34,D000616,36.13.239.172,Online,49,Doctor,170,1,7176.86,04-11-2024 08:09
154.71,03-07-2023 16:40,D000494,167.104.180.235,Online,34,Doctor,157,1,1523.72,04-11-2024 08:09
1340.19,29-09-2023 17:22,D000574,165.114.224.47,Online,54,Engineer,30,1,8654.28,04-11-2024 08:06
24.56,20-10-2023 17:27,D000428,16.131.3.140,Branch,64,Doctor,69,1,9869.93,04-11-2024 08:12
568.07,28-08-2023 17:03,D000018,8.243.4.138,ATM,48,Doctor,115,1,10556.81,04-11-2024 08:07
9.61,22-06-2023 18:37,D000453,132.127.5.187,Online,58,Doctor,179,1,12883.91,04-11-2024 08:09
392.96,20-11-2023 16:28,D000141,186.54.68.246,Online,24,Student,100,1,791.65,04-11-2024 08:08
716.93,14-09-2023 16:49,D000322,101.223.82.253,Online,60,Retired,34,1,4064.02,04-11-2024 08:08
223.85,02-10-2023 16:36,D000481,133.223.159.151,ATM,53,Engineer,55,4,2929.91,04-11-2024 08:08
230.66,27-03-2023 18:16,D000526,60.43.160.195,Branch,21,Student,135,1,618.05,04-11-2024 08:10
442.12,21-12-2023 16:37,D000645,168.36.49.167,Online,19,Student,260,1,1375.8,04-11-2024 08:08
644.17,02-03-2023 16:05,D000178,165.38.56.205,ATM,29,Engineer,72,1,1143.52,04-11-2024 08:08
508.68,26-06-2023 16:16,D000622,193.108.17.115,Branch,51,Engineer,127,1,7708.41,04-11-2024 08:09
858.63,18-04-2023 17:27,D000019,175.230.206.232,Branch,27,Student,185,1,1872.96,04-11-2024 08:10
25.36,17-07-2023 17:08,D000192,62.152.134.92,ATM,57,Engineer,78,1,201.04,04-11-2024 08:11
147.62,01-09-2023 17:26,D000093,149.84.108.18,Branch,71,Retired,133,1,2115.8,04-11-2024 08:07
115.02,11-09-2023 16:19,D000528,134.222.122.238,Branch,37,Doctor,175,1,7643.66,04-11-2024 08:08
383.37,24-01-2023 17:23,D000321,18.72.115.111,Branch,30,Engineer,24,1,8901.93,04-11-2024 08:11
98.54,11-08-2023 16:18,D000528,34.125.226.63,Online,20,Student,167,1,9383.43,04-11-2024 08:10
83.24,16-10-2023 18:35,D000607,21.28.32.1,Branch,55,Doctor,164,1,1181.31,04-11-2024 08:10
196.16,24-02-2023 16:29,D000164,204.34.243.93,Branch,27,Engineer,146,1,9418.86,04-11-2024 08:08
129.94,02-01-2023 16:36,D000647,111.226.226.202,ATM,32,Engineer,235,1,7954.92,04-11-2024 08:06
306.9,30-11-2023 16:31,D000078,96.115.67.230,Online,46,Engineer,51,1,9418.08,04-11-2024 08:10
114.98,01-11-2023 16:52,D000182,115.218.48.83,Online,59,Retired,80,1,6144.68,04-11-2024 08:09
756.59,06-03-2023 16:47,D000028,174.61.77.54,Branch,27,Student,17,1,420.65,04-11-2024 08:11
503.76,27-11-2023 18:32,D000518,216.151.64.40,Online,22,Student,35,1,447.82,04-11-2024 08:09
143.03,31-07-2023 16:37,D000469,197.162.55.147,ATM,63,Retired,147,1,7981.45,04-11-2024 08:10
1045.22,22-11-2023 16:13,D000400,77.7.223.184,ATM,53,Retired,73,1,1829.9,04-11-2024 08:07
245.54,21-03-2023 16:29,D000536,44.197.126.59,ATM,25,Student,180,1,985.06,04-11-2024 08:10
254.37,20-04-2023 18:26,D000477,143.212.47.226,Online,51,Engineer,174,1,8849.26,04-11-2024 08:06
213.76,01-03-2023 17:52,D000574,51.250.122.123,ATM,78,Retired,282,1,3528.72,04-11-2024 08:09
327.86,10-02-2023 16:52,D000655,188.124.181.12,Online,40,Engineer,104,1,480.16,04-11-2024 08:06
2.5,21-07-2023 16:43,D000673,44.73.3.217,Online,47,Doctor,107,1,12145.27,04-11-2024 08:09
300.08,09-10-2023 17:02,D000266,85.240.254.83,Online,68,Doctor,47,1,13546.75,04-11-2024 08:12
56.98,01-01-2024 16:34,D000256,101.90.40.193,ATM,43,Engineer,122,2,5688.37,04-11-2024 08:07
407.65,07-07-2023 16:11,D000544,98.255.160.110,Online,26,Engineer,62,1,8346.64,04-11-2024 08:06
115.83,22-05-2023 17:09,D000663,124.6.134.78,Branch,39,Engineer,167,1,6481.04,04-11-2024 08:10
53.57,16-08-2023 16:17,D000489,45.64.74.86,ATM,69,Retired,121,1,1651.33,04-11-2024 08:08
63.34,17-11-2023 16:02,D000434,69.82.61.135,Online,46,Doctor,165,1,11174.94,04-11-2024 08:10
317.87,22-05-2023 17:29,D000314,79.227.202.117,Online,27,Student,91,1,145.5,04-11-2024 08:11
331.65,25-08-2023 17:26,D000037,26.240.219.199,Online,41,Engineer,61,1,4172.57,04-11-2024 08:11
5.04,27-11-2023 16:38,D000021,63.67.150.226,ATM,56,Retired,41,1,5558.36,04-11-2024 08:10
214.54,04-08-2023 17:46,D000112,195.226.203.234,Online,70,Doctor,247,1,11151.53,04-11-2024 08:11
598.81,04-09-2023 16:48,D000042,92.214.76.157,Branch,57,Doctor,158,1,1415.52,04-11-2024 08:10
841.28,09-08-2023 17:34,D000276,101.223.82.253,Online,26,Student,80,1,1103.64,04-11-2024 08:09
38.15,07-09-2023 16:07,D000687,77.21.150.75,Online,26,Student,108,1,303.68,04-11-2024 08:07
1036.66,11-07-2023 16:39,D000015,53.218.177.171,Branch,58,Doctor,144,1,5541.57,04-11-2024 08:09
124.72,03-07-2023 17:14,D000118,147.234.20.46,Branch,33,Engineer,105,1,6309.8,04-11-2024 08:07
302.45,25-09-2023 17:13,D000052,203.99.96.114,Branch,78,Retired,40,1,5133.61,04-11-2024 08:11
208.04,20-11-2023 17:10,D000339,65.27.212.129,Online,47,Engineer,273,1,9344.98,04-11-2024 08:08
5.77,17-11-2023 17:27,D000236,85.240.254.83,Branch,23,Student,254,1,1117.97,04-11-2024 08:10
381.33,21-08-2023 16:46,D000635,62.251.170.72,ATM,56,Doctor,75,1,11835.35,04-11-2024 08:09
16.16,16-10-2023 16:59,D000465,161.177.41.214,ATM,50,Doctor,124,1,14401.17,04-11-2024 08:11
486.08,20-06-2023 17:21,D000170,138.87.180.254,Online,18,Student,68,1,1748.69,04-11-2024 08:07
336.39,16-01-2023 16:53,D000426,203.99.96.114,Branch,21,Student,18,1,1000.46,04-11-2024 08:09
997.43,22-11-2023 16:07,D000661,100.4.40.132,Online,69,Doctor,118,1,6810.05,04-11-2024 08:08
234.57,01-09-2023 16:09,D000553,45.182.28.148,Online,23,Student,120,1,263.98,04-11-2024 08:08
6,23-10-2023 18:38,D000556,18.72.115.111,Online,30,Doctor,246,1,5442.76,04-11-2024 08:09
1049.92,23-10-2023 16:50,D000522,121.67.144.20,ATM,80,Retired,21,1,2037.85,04-11-2024 08:10
227.14,03-07-2023 17:42,D000439,197.162.55.147,ATM,18,Student,294,1,341.94,04-11-2024 08:11
233.74,24-10-2023 16:41,D000600,96.115.67.230,Online,66,Retired,17,1,1066.59,04-11-2024 08:11
113.02,25-09-2023 16:54,D000369,33.212.169.157,Branch,69,Retired,166,1,6077.96,04-11-2024 08:07
45.85,16-02-2023 17:57,D000241,163.129.70.210,ATM,20,Student,92,1,1659.15,04-11-2024 08:07
973.39,30-08-2023 17:23,D000292,202.194.199.70,Branch,77,Retired,296,1,2042.22,04-11-2024 08:11
514.95,13-04-2023 18:37,D000109,23.92.205.75,Online,41,Doctor,142,5,421.93,04-11-2024 08:10
415.5,28-07-2023 16:29,D000330,140.212.253.222,ATM,66,Doctor,141,1,10113.66,04-11-2024 08:10
265.76,06-02-2023 17:48,D000158,3.157.63.220,Online,54,Retired,92,1,4446.17,04-11-2024 08:12
69.4,24-07-2023 18:08,D000413,216.151.64.40,Online,80,Retired,113,1,6452.77,04-11-2024 08:09
332.93,20-11-2023 16:29,D000548,113.115.81.178,Branch,35,Engineer,293,1,2788.2,04-11-2024 08:08
267.9,09-10-2023 16:52,D000605,216.32.4.105,Online,20,Student,160,1,596.16,04-11-2024 08:08
496.03,03-11-2023 16:45,D000070,210.160.90.52,Branch,61,Doctor,265,1,12904.66,04-11-2024 08:09
376.26,15-02-2023 16:41,D000481,82.88.241.226,ATM,37,Engineer,245,1,9062.4,04-11-2024 08:09
83.02,04-09-2023 17:59,D000226,34.92.221.183,Online,36,Engineer,171,1,9009.56,04-11-2024 08:11
93.26,27-07-2023 16:22,D000436,182.225.2.156,Online,20,Student,72,1,1152.2,04-11-2024 08:12
803.37,17-04-2023 16:08,D000108,191.91.45.159,Branch,68,Doctor,129,1,12168.37,04-11-2024 08:08
35.76,19-09-2023 17:38,D000678,111.78.64.133,Branch,23,Student,122,1,611.86,04-11-2024 08:11
28.53,31-05-2023 16:37,D000310,215.97.143.157,Online,62,Doctor,99,1,8670.53,04-11-2024 08:06
139.53,09-10-2023 17:20,D000491,167.104.180.235,Online,53,Doctor,177,1,10098.86,04-11-2024 08:07
307.57,09-01-2023 16:12,D000076,128.16.32.183,Branch,33,Doctor,285,1,5307.74,04-11-2024 08:06
60.65,26-05-2023 18:15,D000456,10.144.131.89,Branch,56,Retired,53,1,1047.28,04-11-2024 08:09
74.86,14-08-2023 17:43,D000115,161.168.126.136,Branch,70,Doctor,125,1,6921.48,04-11-2024 08:07
117.97,24-11-2023 18:51,D000281,198.39.35.23,Branch,51,Retired,137,1,1475.46,04-11-2024 08:09
231.91,31-01-2023 18:31,D000371,161.71.2.223,ATM,34,Engineer,165,1,112.76,04-11-2024 08:12
126.21,14-02-2023 16:07,D000001,141.121.30.32,Branch,75,Retired,268,1,5669.66,04-11-2024 08:08
506.28,02-05-2023 17:03,D000606,110.150.1.201,Online,53,Retired,162,2,1309.95,04-11-2024 08:09
304.35,04-12-2023 17:07,D000281,183.39.94.209,Branch,31,Engineer,36,1,4057.1,04-11-2024 08:08
281.85,16-05-2023 17:26,D000148,219.193.239.152,ATM,22,Student,109,1,1585.98,04-11-2024 08:07
777.88,20-03-2023 16:58,D000436,139.23.212.102,Branch,31,Engineer,17,1,6825.55,04-11-2024 08:09
119.18,25-08-2023 18:01,D000309,7.105.184.86,Branch,56,Retired,96,1,5516.5,04-11-2024 08:07
177.19,15-05-2023 17:25,D000666,130.92.201.49,Online,76,Retired,43,1,5343.3,04-11-2024 08:06
260.88,29-05-2023 16:50,D000327,184.59.28.72,Branch,22,Student,36,1,903.05,04-11-2024 08:06
169.47,22-03-2023 16:10,D000061,120.170.93.69,Online,24,Student,19,1,1806.16,04-11-2024 08:07
73.23,19-05-2023 16:52,D000059,155.37.19.43,Branch,26,Student,14,1,787.74,04-11-2024 08:11
1362.55,10-02-2023 18:07,D000213,93.52.44.101,ATM,29,Engineer,106,1,2429.68,04-11-2024 08:11
792.57,22-05-2023 16:22,D000424,110.235.207.187,ATM,19,Student,164,1,770.37,04-11-2024 08:10
237.06,18-12-2023 16:47,D000455,61.95.76.233,Online,71,Retired,46,1,1182.77,04-11-2024 08:07
34.17,21-11-2023 16:57,D000036,177.116.108.246,Online,54,Engineer,54,1,726.55,04-11-2024 08:06
740.25,19-07-2023 17:03,D000030,1.198.76.182,Online,41,Doctor,123,1,14464.3,04-11-2024 08:08
453.54,19-04-2023 16:36,D000150,223.32.70.156,ATM,58,Doctor,82,1,12046.3,04-11-2024 08:12
300.47,13-11-2023 16:11,D000272,156.173.170.140,Branch,73,Retired,100,1,7885.64,04-11-2024 08:08
110.93,07-04-2023 16:38,D000142,101.223.82.253,Branch,19,Student,201,1,1952.35,04-11-2024 08:10
201.69,03-01-2023 16:46,D000626,193.108.17.115,ATM,59,Doctor,299,1,7328.52,04-11-2024 08:10
399.21,30-01-2023 16:15,D000301,30.229.179.194,ATM,59,Engineer,109,1,3210.39,04-11-2024 08:08
1041.88,06-09-2023 16:44,D000208,32.240.176.64,Online,78,Retired,57,1,5726.2,04-11-2024 08:06
630.36,02-03-2023 16:11,D000091,200.22.195.243,ATM,62,Retired,52,1,1363.65,04-11-2024 08:12
10.94,23-10-2023 17:24,D000503,10.191.172.154,ATM,60,Engineer,245,1,1241.99,04-11-2024 08:11
215.9,04-01-2023 16:02,D000414,147.119.62.178,ATM,38,Doctor,235,1,7873.28,04-11-2024 08:10
1422.55,10-07-2023 17:49,D000569,188.124.181.12,Branch,79,Retired,165,1,5674.32,04-11-2024 08:06
226.37,18-09-2023 17:07,D000631,206.62.122.93,Branch,49,Doctor,141,1,9840.04,04-11-2024 08:09
444.89,11-09-2023 16:27,D000173,42.61.10.112,Branch,43,Doctor,101,1,10328.23,04-11-2024 08:11
280.57,27-01-2023 17:35,D000538,170.225.23.251,Online,25,Student,24,1,293.24,04-11-2024 08:10
488.54,03-07-2023 17:47,D000466,198.24.183.157,Branch,52,Engineer,132,1,7486.63,04-11-2024 08:07
3.3,27-03-2023 16:42,D000215,116.44.12.250,Branch,50,Doctor,131,1,11385.37,04-11-2024 08:10
199.39,21-08-2023 16:16,D000304,194.88.79.54,Branch,69,Retired,165,1,7264.79,04-11-2024 08:09
20.36,24-07-2023 17:02,D000082,96.115.67.230,Branch,62,Retired,75,1,2762.48,04-11-2024 08:11
113.64,24-10-2023 17:09,D000022,31.127.129.152,Online,62,Retired,32,1,6675.03,04-11-2024 08:07
493.11,31-07-2023 16:25,D000232,35.220.238.127,Branch,53,Retired,236,1,7432.99,04-11-2024 08:08
307.41,12-06-2023 17:32,D000014,1.7.29.72,ATM,19,Student,14,1,1057,04-11-2024 08:09
11.18,30-11-2023 16:52,D000129,16.51.235.240,Online,43,Doctor,161,1,5956.89,04-11-2024 08:10
313.82,15-11-2023 18:57,D000357,179.43.245.131,Branch,59,Engineer,151,1,7261.59,04-11-2024 08:08
51,30-01-2023 16:00,D000199,193.217.248.188,Branch,64,Retired,107,1,4943.16,04-11-2024 08:08
140.98,25-05-2023 16:34,D000374,192.95.36.246,Branch,60,Engineer,100,1,8127.48,04-11-2024 08:12
288.04,24-08-2023 16:47,D000582,205.69.66.135,ATM,68,Retired,63,1,1748.02,04-11-2024 08:10
800.55,04-05-2023 16:21,D000657,8.244.162.185,ATM,31,Engineer,108,1,9660.22,04-11-2024 08:06
485.54,06-02-2023 17:46,D000589,140.212.253.222,ATM,46,Engineer,143,1,6371.51,04-11-2024 08:11
521.15,17-02-2023 18:16,D000108,166.7.230.111,ATM,54,Doctor,214,1,9442.47,04-11-2024 08:07
321.79,07-08-2023 17:30,D000537,86.103.2.29,ATM,63,Retired,61,1,5959.2,04-11-2024 08:10
304.93,24-02-2023 16:23,D000700,21.190.11.223,ATM,65,Doctor,158,1,13531.22,04-11-2024 08:08
432.08,31-07-2023 16:04,D000073,40.192.99.27,ATM,40,Doctor,145,1,11500.62,04-11-2024 08:11
694.2,07-12-2023 16:20,D000007,27.143.109.203,ATM,61,Retired,72,1,1389.37,04-11-2024 08:07
116.86,20-03-2023 18:28,D000531,184.146.10.88,ATM,55,Engineer,171,1,6706.56,04-11-2024 08:12
386.81,03-03-2023 18:02,D000248,34.169.232.37,Online,57,Doctor,149,1,7175.29,04-11-2024 08:10
74.88,24-05-2023 16:25,D000139,161.161.26.115,ATM,25,Student,202,1,420.67,04-11-2024 08:07
195.76,22-05-2023 16:17,D000517,119.163.214.161,Branch,75,Retired,99,1,7323.53,04-11-2024 08:09
134.7,21-08-2023 16:03,D000637,155.19.119.0,ATM,50,Doctor,106,1,8395.85,04-11-2024 08:11
890.24,07-07-2023 18:03,D000223,28.149.72.129,Online,33,Engineer,161,1,5140.93,04-11-2024 08:07
361.27,06-01-2023 17:01,D000676,78.100.105.143,ATM,63,Doctor,180,1,7945.57,04-11-2024 08:10
131.56,19-10-2023 16:42,D000203,27.215.118.94,Branch,44,Doctor,42,1,5873.54,04-11-2024 08:07
485.51,28-11-2023 16:49,D000460,91.204.200.167,Online,76,Retired,37,1,3074.45,04-11-2024 08:08
547.87,10-07-2023 17:15,D000183,188.205.152.176,ATM,64,Retired,131,1,6155.76,04-11-2024 08:10
457.3,26-06-2023 18:25,D000214,62.27.235.199,Online,28,Engineer,15,1,8318.29,04-11-2024 08:07
506.24,13-01-2023 16:44,D000315,136.104.90.223,ATM,58,Engineer,64,1,230.09,04-11-2024 08:11
486.59,19-12-2023 16:55,D000029,129.102.184.189,Branch,57,Retired,119,1,2513.56,04-11-2024 08:10
163.68,28-09-2023 16:20,D000440,35.67.21.23,Branch,41,Doctor,292,1,10090.05,04-11-2024 08:11
581.65,09-01-2023 16:54,D000666,80.92.209.207,ATM,22,Student,176,1,480.19,04-11-2024 08:09
52.01,07-11-2023 16:46,D000652,178.34.103.183,ATM,48,Doctor,85,1,1120.88,04-11-2024 08:11
630.24,29-11-2023 18:10,D000548,12.246.170.239,ATM,21,Student,62,1,370.81,04-11-2024 08:11
523.74,02-11-2023 16:36,D000551,216.151.64.40,ATM,43,Doctor,159,1,13498.55,04-11-2024 08:06
705.6,20-02-2023 18:41,D000103,205.45.234.42,Branch,40,Doctor,124,3,14804.7,04-11-2024 08:09
217.5,23-10-2023 18:54,D000485,101.90.40.193,Branch,46,Engineer,35,1,3057.4,04-11-2024 08:06
91.48,23-01-2023 16:50,D000295,160.74.183.38,ATM,51,Doctor,141,1,14942.78,04-11-2024 08:09
5.25,13-11-2023 18:26,D000571,93.170.203.44,ATM,39,Doctor,49,1,14143.32,04-11-2024 08:12
54.03,19-09-2023 17:16,D000519,161.25.82.11,ATM,56,Retired,161,1,6736.3,04-11-2024 08:07
736.73,27-11-2023 16:05,D000167,107.247.202.71,Branch,48,Engineer,10,1,3313.07,04-11-2024 08:10
368.91,10-03-2023 17:49,D000221,218.238.171.184,Branch,54,Doctor,14,1,829.71,04-11-2024 08:10
33.06,17-01-2023 16:03,D000417,63.67.150.226,Online,53,Retired,170,1,1540.87,04-11-2024 08:06
66.5,04-05-2023 16:44,D000419,13.88.251.53,Online,32,Engineer,144,1,6820.23,04-11-2024 08:08
177.08,06-01-2023 17:16,D000450,176.96.83.253,Online,35,Doctor,85,1,13475.14,04-11-2024 08:12
588.54,06-02-2023 17:57,D000609,211.97.88.141,Branch,32,Engineer,130,1,714.45,04-11-2024 08:10
